person,state,district,vote,name,party,matched-name,twitter-handle,matched-state,matched-party
412501,OR,1,Yea,"Rep. Suzanne Bonamici [D, 2012-2024]",Democrat,"Bonamici, Suzanne",repbonamici,OR,D
412503,KY,4,Nay,"Rep. Thomas Massie [R, 2012-2024]",Republican,"Massie, Thomas",repthomasmassie,KY,R
412505,WA,1,Yea,"Rep. Suzan DelBene [D, 2012-2024]",Democrat,"DelBene, Suzan",repdelbene,WA,D
412506,NJ,10,Yea,"Rep. Donald Payne Jr. [D, 2012-2024]",Democrat,"Pallone Jr., Frank",frankpallone,NJ,D
412510,CA,1,Nay,"Rep. Doug LaMalfa [R, 2013-2024]",Republican,Doug LaMalfa R-CA,replamalfa,CA,R
412511,CA,2,Yea,"Rep. Jared Huffman [D, 2013-2024]",Democrat,"Huffman, Jared",rephuffman,CA,D
412512,CA,7,Yea,"Rep. Ami Bera [D, 2013-2022]",Democrat,Ami Bera D-CA,repbera,CA,D
412514,CA,15,Yea,"Rep. Eric Swalwell [D, 2013-2022]",Democrat,Eric Swalwell D-CA,repswalwell,CA,D
412515,CA,21,Nay,"Rep. David Valadao [R, 2021-2022]",Republican,David Valadao R-CA,repdavidvaladao,CA,R
412516,CA,26,Yea,"Rep. Julia Brownley [D, 2013-2024]",Democrat,"Brownley, Julia",repbrownley,CA,D
412517,CA,29,Yea,"Rep. Tony Cárdenas [D, 2013-2024]",Democrat,"Cardenas, Tony",repcardenas,CA,D
412519,CA,36,Yea,"Rep. Raul Ruiz [D, 2013-2022]",Democrat,Raul Ruiz D-CA,repraulruizmd,CA,D
412520,CA,41,Yea,"Rep. Mark Takano [D, 2013-2022]",Democrat,Mark Takano D-CA,repmarktakano,CA,D
412521,CA,47,Yea,"Rep. Alan Lowenthal [D, 2013-2022]",Democrat,Alan Lowenthal D-CA,replowenthal,CA,D
412522,CA,51,Yea,"Rep. Juan Vargas [D, 2013-2022]",Democrat,Juan Vargas D-CA,repjuanvargas,CA,D
412523,CA,52,Yea,"Rep. Scott Peters [D, 2013-2022]",Democrat,"Peters, Scott",repscottpeters,CA,D
412529,FL,21,Yea,"Rep. Lois Frankel [D, 2017-2022]",Democrat,"Frankel, Lois",reploisfrankel,FL,D
412534,IL,10,Yea,"Rep. Bradley “Brad” Schneider [D, 2017-2024]",Democrat,Brad Schneider D-IL,repschneider,IL,D
412536,IL,13,Nay,"Rep. Rodney Davis [R, 2013-2022]",Republican,,,,
412537,IL,17,Yea,"Rep. Cheri Bustos [D, 2013-2022]",Democrat,Cheri Bustos D-IL,repcheri,IL,D
412538,IN,2,Nay,"Rep. Jackie Walorski [R, 2013-2022]",Republican,Jackie Walorski R-IN,repwalorski,IN,R
412541,KY,6,Nay,"Rep. Garland “Andy” Barr [R, 2013-2024]",Republican,Andy Barr R-KY,repandybarr,KY,R
412546,MI,5,Yea,"Rep. Daniel Kildee [D, 2013-2022]",Democrat,Dan Kildee D-MI,repdankildee,MI,D
412548,MO,2,Nay,"Rep. Ann Wagner [R, 2013-2024]",Republican,Ann Wagner R-MO,repannwagner,MO,R
412550,NC,8,Nay,"Rep. Richard Hudson [R, 2013-2022]",Republican,"Hudson, Richard",reprichhudson,NC,R
412557,NH,2,Yea,"Rep. Ann Kuster [D, 2013-2024]",Democrat,Annie Kuster D-NH,repanniekuster,NH,D
412559,NV,4,Yea,"Rep. Steven Horsford [D, 2019-2024]",Democrat,"Horsford, Steven",rephorsford,NV,D
412560,NY,6,Yea,"Rep. Grace Meng [D, 2013-2024]",Democrat,Grace Meng D-NY,repgracemeng,NY,D
412561,NY,8,Yea,"Rep. Hakeem Jeffries [D, 2013-2024]",Democrat,Hakeem Jeffries D-NY,repjeffries,NY,D
412562,NY,18,Yea,"Rep. Sean Maloney [D, 2013-2022]",Democrat,Carolyn Maloney D-NY,repmaloney,NY,D
412564,OH,2,Nay,"Rep. Brad Wenstrup [R, 2013-2024]",Republican,Brad Wenstrup R-OH,repbradwenstrup,OH,R
412565,OH,3,Yea,"Rep. Joyce Beatty [D, 2013-2024]",Democrat,"Beatty, Joyce",repbeatty,OH,D
412566,OH,14,Nay,"Rep. David Joyce [R, 2013-2024]",Republican,David Joyce R-OH,repdavejoyce,OH,R
412568,OK,2,Nay,"Rep. Markwayne Mullin [R, 2013-2022]",Republican,Markwayne Mullin R-OK,repmullin,OK,R
412569,PA,10,Nay,"Rep. Scott Perry [R, 2019-2024]",Republican,"Perry, Scott",repscottperry,PA,R
412571,PA,8,Yea,"Rep. Matthew “Matt” Cartwright [D, 2019-2024]",Democrat,"Cartwright, Matt",repcartwright,PA,D
412572,SC,7,Nay,"Rep. Tom Rice [R, 2013-2022]",Republican,Tom Rice R-SC,reptomrice,SC,R
412574,TX,14,Nay,"Rep. Randy Weber [R, 2013-2024]",Republican,"Weber, Randy",txrandy14,TX,R
412576,TX,20,Yea,"Rep. Joaquin Castro [D, 2013-2024]",Democrat,"Castro, Joaquin",joaquincastrotx,TX,D
412578,TX,25,Nay,"Rep. Roger Williams [R, 2013-2024]",Republican,Roger Williams R-TX,reprwilliams,TX,R
412579,TX,33,Yea,"Rep. Marc Veasey [D, 2013-2024]",Democrat,Marc Veasey D-TX,repveasey,TX,D
412580,TX,34,Yea,"Rep. Filemon Vela [D, 2013-2022]",Democrat,Filemon Vela D-TX,repfilemonvela,TX,D
412581,UT,2,Nay,"Rep. Chris Stewart [R, 2013-2023]",Republican,Chris Stewart R-UT,repchrisstewart,UT,R
412583,WA,6,Yea,"Rep. Derek Kilmer [D, 2013-2024]",Democrat,Derek Kilmer D-WA,repderekkilmer,WA,D
412585,WI,2,Yea,"Rep. Mark Pocan [D, 2013-2024]",Democrat,Mark Pocan D-WI,repmarkpocan,WI,D
412595,IL,2,Yea,"Rep. Robin Kelly [D, 2013-2024]",Democrat,"Kelly, Robin",reprobinkelly,IL,D
412596,MO,8,Nay,"Rep. Jason Smith [R, 2013-2024]",Republican,Jason Smith R-MO,repjasonsmith,MO,R
